rok;strana_id;strana;poradove_cislo;jmeno;tituly;vek;navrhovana_str;prislusnost;hlasy;hlasy_procenta;poradi;mandat
2014;12;Strana Práv Občanů;4;Kubalík Jaroslav Ing. Ph.D.;Ing. Ph.D.;53;SPO;SPO;204;8.65;-;False
2014;4;Změna pro Plzeň;18;Kubišta Přemysl;;58;NK;BEZPP;1100;2.4;-;False
2014;10;Komunistická str.Čech a Moravy;36;Kučera Jaromír;;61;KSČM;KSČM;3279;2.14;30;False
2014;17;Křesť.demokr.unie-Čs.str.lid.;43;KUČEROVÁ Ludmila Bc. DiS.;Bc. DiS.;58;KDU-ČSL;BEZPP;1947;1.86;40;False
2014;9;Plzeň pro sport;23;Kunc Zdeněk;;24;PPPS;BEZPP;648;1.96;-;False
2014;5;Společně za Plzeň;22;Kuneš Jan Ing.;Ing.;45;NK;BEZPP;1797;2.03;-;False
2014;6;TOP 09;24;Kunešová Marcela JUDr.;JUDr.;35;TOP 09;TOP 09;3571;2.14;19;False
2014;9;Plzeň pro sport;17;Kupková Adéla;;27;PPPS;BEZPP;661;2.0;-;False
2014;17;Křesť.demokr.unie-Čs.str.lid.;33;KURALOVÁ Barbora Ing.;Ing.;40;KDU-ČSL;BEZPP;2065;1.97;30;False
2014;12;Strana Práv Občanů;1;Kůrka Jan;;71;SPO;SPO;360;15.26;-;False
2014;4;Změna pro Plzeň;40;Kůrková Jaroslava;;68;NK;BEZPP;857;1.87;-;False
2014;13;Česká str.sociálně demokrat.;45;Kušička Pavel Ing.;Ing.;27;ČSSD;ČSSD;5898;1.94;35;False
2014;13;Česká str.sociálně demokrat.;3;Kuthan Jiří;;65;ČSSD;ČSSD;6703;2.21;3;True
2014;1;VEŘEJNÉ ZÁJMY PLZNĚ;7;Kuthanová Dagmar Mgr.;Mgr.;53;Úsvit;BEZPP;1263;2.35;-;False
2014;1;VEŘEJNÉ ZÁJMY PLZNĚ;41;Kuttan Vratislav Ing.;Ing.;56;VZ;BEZPP;1045;1.94;-;False
2014;9;Plzeň pro sport;31;Kuželíková Alena;;27;PPPS;BEZPP;658;1.99;-;False
2014;5;Společně za Plzeň;34;Kvasničková Alena MUDr.;MUDr.;68;NK;BEZPP;1902;2.15;-;False
2014;10;Komunistická str.Čech a Moravy;5;Kvit Karel RSDr. Ing.;RSDr. Ing.;63;KSČM;KSČM;3441;2.25;5;True
2014;16;Občanská demokratická strana;42;Kydlíček Martin;;38;ODS;ODS;6416;1.98;32;False
2014;8;Sdružení DSZ a NK;1;Kylián Zdeněk Bc.;Bc.;45;DSZ;BEZPP;103;12.2;-;False
2014;6;TOP 09;32;Lacyk Václav Ing.;Ing.;43;TOP 09;TOP 09;3480;2.08;27;False
2014;10;Komunistická str.Čech a Moravy;16;Ladič Milan Ing.;Ing.;67;KSČM;KSČM;3327;2.17;11;False
2014;3;Strana svobodných občanů;18;Ladman Antonín;;21;Svobodní;Svobodní;866;2.1;-;False
2014;13;Česká str.sociálně demokrat.;38;Lakatoš Miroslav;;49;ČSSD;ČSSD;6251;2.06;28;False
2014;17;Křesť.demokr.unie-Čs.str.lid.;42;LANGL Miroslav;;61;KDU-ČSL;KDU-ČSL;1909;1.82;39;False
